0	1	2	3	4	5	6	7	8
6.6	0.15151515151515152	194.8913333333333	-70.8765	200.2	-8.361	-0.949	303.6	-8.02
17.9	0.0558659217877095	198.23020833333334	18.168166666666668	-62.9	-0.148	-1.355	332.96	79.76
17.4	0.0574712643678161	199.112875	17.70025	44.0	-0.366	-1.248	335.7	78.95
5.2	0.1923076923076923	201.69683333333333	-47.47958333333333	232.1	-3.234	-6.719	309.1	14.97
10.2	0.09803921568627452	205.54841666666664	28.377277777777778	-147.6	-0.142	-2.647	42.22	78.71
11.7	0.08547008547008547	206.61170833333335	-51.37425	57.4	0.207	-0.111	311.61	10.57
32.2	0.03105590062111801	209.09041666666667	-27.1675	0.0	0.0	0.0	320.28	33.51
16.0	0.0625	211.36370833333336	28.534444444444443	110.7	-5.412	-0.8	42.15	73.59
25.2	0.03968253968253968	217.405125	-5.976416666666667	-45.1	-1.724	-1.507	342.21	49.26
35.0	0.02857142857142857	219.90120833333333	-26.538944444444443	-140.3	-0.486	-1.071	331.06	30.36
18.8	0.05319148936170213	225.076875	-82.21369444444444	31.5	0.491	-0.485	307.35	-20.47
32.1	0.03115264797507788	225.99429166666667	-33.068222222222225	-27.5	-1.17	-2.226	332.56	22.07
23.2	0.04310344827586207	229.02187500000002	0.11161111111111112	-58.7	-2.736	-2.646	0.85	45.86
12.5	0.08	229.35208333333333	-21.010277777777777	101.5	-0.427	-3.438	342.95	30.29
7.5	0.13333333333333333	229.63841666666667	2.081027777777778	53.2	4.078	-9.854	3.86	46.8
7.7	0.12987012987012986	232.002875	-50.673027777777776	-107.5	-5.049	-3.231	326.6	4.86
10.6	0.09433962264150944	233.86883333333333	-50.659666666666666	128.4	-5.331	-1.614	327.58	4.19
18.9	0.052910052910052914	234.78104166666668	-50.05272222222222	0.0	-4.002	-3.064	328.41	4.34
10.4	0.09615384615384615	236.5125	-37.78641666666667	88.9	-4.186	-4.604	337.02	13.27
8.0	0.125	242.76520833333333	-55.31777777777778	8.0	0.0	0.0	328.77	-2.8
76.5	0.013071895424836602	242.75249999999997	14.957777777777778	72.3	-0.504	-0.461	28.74	42.19
10.0	0.1	244.2600416666667	-22.97608333333333	8.1	-2.931	-5.578	352.67	19.46
2.2	0.45454545454545453	245.89675000000003	-26.52575	70.7	-12.49	-19.001	350.97	15.97
15.4	0.06493506493506493	246.4505	-72.20219444444444	361.4	1.757	-0.223	317.74	-15.82
8.9	0.11235955056179775	246.80775	-26.0235	193.8	-1.772	-2.626	351.93	15.7
10.1	0.09900990099009901	246.91820833333333	-38.84875	6.7	-6.184	-2.648	342.37	6.94
8.2	0.12195121951219513	247.16699999999997	-35.35347222222222	-136.3	-5.602	-1.69	345.08	9.19
6.4	0.15625	248.13275000000002	-13.053777777777778	-34.1	-1.924	-5.968	3.37	23.01
8.3	0.12048192771084336	249.85604166666664	-28.398694444444445	0.0	0.0	0.0	351.91	12.1
7.1	0.14084507042253522	250.42183333333335	36.45986111111111	-244.2	-3.164	-2.588	59.01	40.91
30.5	0.03278688524590164	251.74495833333333	47.52775	-154.2	-1.192	-0.44	73.64	40.31
4.8	0.20833333333333334	251.80908333333338	-1.9485277777777776	-41.4	-0.141	-6.802	15.72	26.31
9.8	0.1020408163265306	253.04416666666668	-47.058055555555555	0.0	-5.015	-0.141	339.19	-1.85
11.5	0.08695652173913043	253.35545833333333	-22.177444444444443	87.3	-3.973	-7.624	358.92	13.52
4.4	0.22727272727272727	254.2877083333333	-4.100305555555556	75.2	-4.759	-6.554	15.14	23.08
10.3	0.0970873786407767	254.8859166666667	-37.12138888888889	-101.4	-3.664	-1.493	347.79	3.31
45.1	0.022172949002217293	254.96250000000003	0.5388888888888889	68.9	-0.58	-0.861	18.88	24.3
6.8	0.14705882352941177	255.30333333333328	-30.113722222222222	-70.1	-5.041	-2.952	353.57	7.32
8.8	0.11363636363636363	255.65750000000003	-26.267972222222223	135.0	-3.232	1.669	356.87	9.38
15.3	0.06535947712418301	256.11879166666665	-24.76486111111111	27.5	-3.196	-2.008	358.35	9.94
9.4	0.10638297872340426	256.2880416666667	-22.70836111111111	-288.7	-4.977	-1.882	0.13	11.02
9.5	0.10526315789473684	257.5425	-26.582083333333333	-146.2	0.89	-4.338	357.62	7.83
5.9	0.1694915254237288	258.634375	-29.462027777777777	-107.3	-4.051	-1.073	355.83	5.38
10.4	0.09615384615384615	259.15541666666667	-28.14011111111111	71.4	-4.945	-4.608	357.18	5.76
