294.3	-1.7	4.975	12.100	1.270	0.700	13.21	13.00	-16.7	
305.3	1.2	3.719	12.018	1.732	1.229	11.11	10.82	-15.2	
305.4	-1.6	10.353	11.546	1.562	0.735	13.01	12.99	-30.6	
306.9	-0.6	12.881	12.004	1.757	0.931	13.18	13.17	-35.7	
311.9	-0.2	17.752	11.796	2.107	1.082	12.40	12.53	-58.7	
313.5	-0.5	9.467	8.689	1.190	0.428	11.21	11.16	-24.4	
306.1	0.3	6.459	8.464	1.047	0.395	10.77	10.63	-16.5	
310.8	4.4	5.079	7.659	0.804	0.205	10.33	10.15	-31.8	
292.1	4.3	5.508	8.181	0.791	0.176	11.04	10.88	-15.2	
105.2	0.5	5.366	3.954	0.658	0.092	7.17	7.00	-17.4	
105.1	0.4	7.232	11.186	1.322	0.682	12.78	12.70	-45.6	
100.4	1.1	17.856	10.567	1.638	0.682	12.74	12.92	-40.5	
107.6	0.3	6.233	9.629	1.460	0.758	10.54	10.46	-32.3	
315.8	-4.0	5.273	5.880	0.715	0.152	8.88	8.69	-25.5	
299.6	1.1	5.826	6.771	0.774	0.152	9.78	9.63	-16.5	
303.3	4.4	4.690	6.599	0.756	0.163	9.29	9.11	-7.1	
299.4	0.4	6.733	6.570	0.918	0.193	9.40	9.32	-9.8	
302.3	3.8	6.220	8.357	0.996	0.286	10.80	10.69	-25.0	
299.2	-0.6	12.848	9.822	1.788	1.000	10.87	10.87	-33.6	
296.8	-0.4	7.004	12.130	1.390	0.845	13.40	13.21	-15.4	
298.0	-0.2	4.989	11.700	1.370	0.800	12.49	12.27	-14.3	
299.9	-1.8	6.121	12.300	1.870	1.301	11.77	11.57	-35.1	
300.9	-0.7	5.265	9.602	1.287	0.675	10.77	10.59	-2.7	
300.9	1.6	12.213	12.007	1.640	0.957	13.42	13.35	-28.5	
298.5	0.5	6.398	11.037	1.270	0.680	12.57	12.39	-34.3	
301.7	3.1	3.837	8.204	0.734	0.211	10.60	10.35	-8.5	
300.4	3.4	3.343	5.462	0.629	0.053	8.00	7.78	-20.3	
76.9	-4.3	16.387	6.396	1.131	0.288	10.06	10.13	8.3	
64.8	2.5	3.846	6.857	0.556	0.096	9.80	9.53	-21.4	
84.4	4.0	15.107	9.434	1.466	0.631	11.85	11.91	-12.1	
84.4	-2.3	14.708	9.515	1.752	1.181	10.83	10.73	-20.4	
82.2	-3.5	20.130	10.073	1.665	0.791	12.31	12.42	-18.0	
82.9	-4.6	7.857	9.590	1.202	0.652	11.67	11.51	-11.9	
91.5	-8.5	4.865	8.957	0.869	0.289	11.34	11.17	-18.5	
84.8	1.4	10.141	10.232	1.609	0.933	11.44	11.38	-13.2	
71.1	1.4	17.071	8.957	1.279	0.514	12.16	12.18	-11.6	
76.5	-10.8	2.499	5.774	0.538	0.039	8.08	7.79	-1.6	
66.5	-0.1	7.818	9.937	1.271	0.628	11.82	11.70	-11.1	
70.9	-0.6	5.955	9.485	1.310	0.680	10.79	10.63	-16.4	
85.5	-4.9	5.257	9.631	1.481	0.895	10.15	9.97	-5.1	
74.1	2.3	4.365	9.871	0.997	0.417	11.66	11.46	-12.7	
77.6	2.3	11.211	10.939	1.912	1.230	11.31	11.24	-10.2	
90.5	0.7	7.251	10.601	1.426	0.798	11.85	11.73	-20.7	
87.5	1.6	4.049	10.853	1.335	0.810	11.40	11.16	-22.8	
89.0	-3.0	3.284	9.090	1.060	0.534	10.18	9.93	-16.2	
83.6	-8.0	3.331	5.885	0.495	-0.074	8.84	8.62	-5.2	
271.7	-32.8	9.842	3.755	0.794	0.044	7.63	7.62	7.3	
195.7	11.9	10.152	3.918	0.798	0.018	7.85	7.87	6.8	
197.4	3.4	7.915	6.951	0.900	0.283	10.06	9.97	-0.1	
187.7	-0.1	5.530	10.016	1.014	0.570	12.09	11.91	12.0	
184.6	2.7	11.302	9.735	1.068	0.330	12.94	13.05	9.5	
193.3	7.6	3.788	9.858	0.684	0.167	12.40	12.25	45.0	
199.4	2.3	2.308	11.364	0.796	0.444	12.66	12.37	64.3	
198.1	2.8	3.136	10.742	0.937	0.451	12.14	11.94	16.0	
106.5	-2.6	4.984	8.939	0.858	0.356	11.37	11.16	-25.4	
106.5	-2.5	5.444	8.407	0.901	0.362	10.86	10.67	-25.3	
98.7	-4.0	4.324	9.150	0.723	0.217	11.78	11.56	-22.0	
105.8	-1.6	10.886	8.418	1.106	0.404	11.42	11.40	-30.0	
105.6	-2.0	6.416	8.844	0.875	0.353	11.64	11.47	-38.8	
93.0	-9.3	5.332	8.878	0.939	0.336	11.20	11.04	-18.6	
324.9	3.3	9.285	7.633	1.217	0.364	10.08	10.09	-16.1	
203.6	-2.6	27.021	6.129	1.168".	0.209	10.56	10.79	22.0	
203.7	-3.7	15.232	8.260	1.010	0.249	12.16	12.26	27.1	
214.1	-0.8	8.702	10.965	1.099	0.511	13.57	13.58	51.0	
213.4	1.2	4.032	11.400	1.170	0.700	12.45	12.27	59.5	
214.0	1.3	7.428	10.775	1.152	0.441	13.00	13.04	34.0	
215.5	-1.1	5.457	11.898	1.204	0.596	13.40	13.37	66.4	
217.1	-0.3	3.938	13.300	1.470	0.832	13.40	13.36	66.1	
204.9	1.0	2.705	10.579	1.033	0.585	11.41	11.15	45.4	
208.6	-1.8	5.381	10.307	1.285	0.714	11.50	11.37	18.9	
220.0	3.8	4.809	12.500	1.470	1.000	12.87	12.70	68.9	
221.7	-0.1	4.497	12.900	1.570	1.000	12.86	12.75	88.7	
221.5	1.0	3.288	12.931	1.103	0.616	13.87	13.76	85.8	
214.9	3.7	2.713	10.380	0.678	0.218	12.36	12.13	60.7	
208.9	0.9	4.134	10.551	0.864	0.321	12.67	12.54	58.8	
302.1	-6.5	7.510	6.285	0.757	0.017	9.83	9.77	0.1	
299.6	-7.5	9.659	6.123	0.844	0.147	9.78	9.72	-1.7	
296.5	-5.3	3.086	8.977	0.857	0.328	10.63	10.36	-5.5	
296.6	-3.0	4.945	11.759	1.342	0.789	12.62	12.39	-24.6	
296.8	-3.2	11.636	9.772	1.147	0.413	12.76	12.72	-17.0	
327.8	-5.4	9.754	6.430	0.939	0.189	9.82	9.78	5.8	
325.6	-0.2	12.641	9.249	1.637	0.892	10.76	10.72	-21.8	
329.1	-1.2	6.198	10.035	1.339	0.580	11.36	11.26	-40.5	
327.5	-0.7	12.645	9.472	1.307	0.794	11.98	11.80	-32.9	
330.4	0.3	10.784	11.684	2.002	1.338	12.36	12.89	-56.6	
330.5	-1.7	3.453	10.425	1.283	0.684	10.90	10.66	-24.5	
20.6	10.1	17.123	6.167	1.368	0.655	9.06	9.05	-6.6	
9.9	7.1	4.068	7.331	0.850	0.247	9.49	9.28	-29.0	
196.6	0.3	7.567	8.412	0.934	0.389	11.30	11.19	40.5	
195.9	-3.9	4.911	12.296	1.134	0.569	13.83	13.83	22.4	
198.0	-4.5	3.889	11.390	0.902	0.407	13.26	13.15	15.5	
199.8	-4.3	8.616	8.965	0.969	0.279	12.02	12.03	43.9	
162.6	-1.5	11.129	8.989	0.991	0.434	12.34	12.29	-4.5	
158.9	-6.4	4.290	11.166	1.145	0.490	12.48	12.42	5.5	
133.6	-3.1	4.566	11.608	0.969	0.538	13.50	13.35	-41.5	
135.9	-1.4	5.365	11.339	1.468	0.919	11.92	11.77	-45.0	
132.8	-3.0	10.895	9.305	1.141	0.515	12.15	12.13	-35.4	
135.1	-1.7	5.532	11.255	1.513	0.941	11.74	11.61	-39.5	
166.6	-5.4	6.463	7.486	1.036	0.534	9.77	9.59	6.9	)
135.9	-5.2	7.570	6.247	0.866	0.273	9.38	9.26	-26.1	
236.1	-0.8	25.961	8.490	1.219	0.443	12.59	12.73	65.3	
252.4	-0.2	41.388	7.028	1.405	0.446	11.37	11.62	22 A	
237.0	-1.3	3.012	8.315	0.653	0.165	10.56	10.31	8.8	
243.4	-3.3	23.164	9.595	1.175	0.471	13.62	13.74	63.3	
241.2	-1.4	8.938	9.058	0.960	0.319	12.18	12.13	54.6	
241.8	3.3	5.027	10.301	0.765	0.220	13.06	12.94	64.0	
246.2	0.1	30.018	8.755	1.371	0.512	12.63	12.82	59.5	
254.3	-1.6	6.665	8.001	0.788	0.183	11.18	11.06	26.7	
244.5	-1.0	7.199	10.811	1.185	0.570	12.83	12.76	64.4	
247.9	1.0	13.674	9.922	1.213	0.438	12.98	13.07	65.7	
